,Centrality
2,0.03571428571428571
8,0.14285714285714285
5,0.6071428571428571
6,0.9642857142857142
7,0.8928571428571428
9,0.2857142857142857
10,0.14285714285714285
11,0.39285714285714285
12,0.14285714285714285
13,0.14285714285714285
14,0.14285714285714285
15,0.14285714285714285
16,0.14285714285714285
25,0.3214285714285714
26,0.14285714285714285
27,0.21428571428571427
28,0.17857142857142855
29,0.25
30,0.25
17,0.17857142857142855
18,0.39285714285714285
19,0.17857142857142855
20,0.17857142857142855
21,0.10714285714285714
22,0.10714285714285714
23,0.14285714285714285
24,0.25
31,0.25
32,0.25
