,Centrality
2,0.25
8,0.39285714285714285
16,0.14285714285714285
18,0.8214285714285714
29,0.25
30,0.25
31,0.2857142857142857
32,0.2857142857142857
5,0.9285714285714285
6,0.3214285714285714
7,0.3571428571428571
9,0.6428571428571428
10,0.17857142857142855
11,0.07142857142857142
12,0.6071428571428571
13,0.10714285714285714
14,0.07142857142857142
15,0.14285714285714285
17,0.42857142857142855
19,0.21428571428571427
20,0.21428571428571427
21,0.25
22,0.21428571428571427
23,0.21428571428571427
24,0.17857142857142855
25,0.2857142857142857
26,0.21428571428571427
27,0.3571428571428571
28,0.25
