,Centrality
1,0.9032258064516129
2,0.03225806451612903
3,0.03225806451612903
4,0.03225806451612903
5,0.9032258064516129
6,0.6129032258064516
7,0.6129032258064516
8,0.12903225806451613
12,0.16129032258064516
13,0.16129032258064516
14,0.16129032258064516
15,0.1935483870967742
16,0.16129032258064516
17,0.6774193548387096
18,0.4838709677419355
19,0.5161290322580645
20,0.1935483870967742
21,0.5161290322580645
22,0.25806451612903225
23,0.29032258064516125
24,0.5161290322580645
25,0.4838709677419355
26,0.3225806451612903
27,0.45161290322580644
28,0.29032258064516125
29,0.4193548387096774
30,0.3548387096774194
31,0.3870967741935484
32,0.16129032258064516
9,0.22580645161290322
10,0.7741935483870968
11,0.1935483870967742
