,Centrality
1,0.967741935483871
2,0.06451612903225806
3,0.8387096774193548
4,0.12903225806451613
5,0.06451612903225806
6,0.7741935483870968
7,0.12903225806451613
9,0.4838709677419355
10,0.0967741935483871
11,0.0967741935483871
12,0.0967741935483871
13,0.25806451612903225
14,0.0967741935483871
15,0.0967741935483871
16,0.29032258064516125
17,0.16129032258064516
18,0.12903225806451613
19,0.3548387096774194
20,0.1935483870967742
21,0.1935483870967742
22,0.1935483870967742
23,0.3870967741935484
24,0.1935483870967742
25,0.12903225806451613
26,0.16129032258064516
27,0.16129032258064516
28,0.12903225806451613
29,0.16129032258064516
30,0.1935483870967742
31,0.1935483870967742
32,0.25806451612903225
8,0.06451612903225806
