,Centrality
1,0.3548387096774194
4,0.8709677419354839
5,0.0967741935483871
6,0.22580645161290322
7,0.5161290322580645
8,0.06451612903225806
11,0.12903225806451613
12,0.0967741935483871
13,0.0967741935483871
14,0.5483870967741935
15,0.0967741935483871
32,0.29032258064516125
2,0.03225806451612903
3,0.03225806451612903
9,0.06451612903225806
10,0.25806451612903225
16,0.16129032258064516
17,0.4838709677419355
18,0.5161290322580645
19,0.12903225806451613
20,0.25806451612903225
21,0.5161290322580645
22,0.22580645161290322
23,0.22580645161290322
24,0.22580645161290322
25,0.45161290322580644
26,0.29032258064516125
27,0.4193548387096774
28,0.3225806451612903
29,0.22580645161290322
30,0.25806451612903225
31,0.29032258064516125
