,Centrality
1,1.0
2,0.12903225806451613
3,0.7096774193548387
4,0.967741935483871
5,0.967741935483871
6,0.967741935483871
7,0.4838709677419355
8,0.16129032258064516
9,0.3548387096774194
10,0.7741935483870968
11,0.5161290322580645
12,0.1935483870967742
13,0.8064516129032258
14,0.6774193548387096
15,0.3548387096774194
16,0.7741935483870968
17,0.7096774193548387
18,0.7419354838709677
19,0.8064516129032258
20,0.8709677419354839
21,0.8709677419354839
22,0.8709677419354839
23,0.9032258064516129
24,0.6129032258064516
25,0.5483870967741935
26,0.7096774193548387
27,0.7096774193548387
28,0.6774193548387096
29,0.6129032258064516
30,0.6129032258064516
31,0.6774193548387096
32,0.6451612903225806
