,Centrality
1,0.7419354838709677
2,0.03225806451612903
3,0.03225806451612903
4,0.5483870967741935
5,0.8387096774193548
6,0.4838709677419355
7,0.0967741935483871
8,0.06451612903225806
9,0.0967741935483871
10,0.5806451612903225
11,0.22580645161290322
16,0.12903225806451613
17,0.6451612903225806
18,0.6774193548387096
19,0.6451612903225806
20,0.6451612903225806
21,0.6451612903225806
22,0.6451612903225806
23,0.6451612903225806
24,0.6774193548387096
25,0.6129032258064516
26,0.6129032258064516
27,0.6451612903225806
31,0.6451612903225806
12,0.06451612903225806
13,0.6774193548387096
14,0.12903225806451613
28,0.6451612903225806
29,0.6451612903225806
15,0.0967741935483871
30,0.6129032258064516
32,0.6129032258064516
