,Centrality
1,0.8387096774193548
2,0.16129032258064516
3,0.03225806451612903
4,0.03225806451612903
5,0.7741935483870968
6,0.8064516129032258
8,0.0967741935483871
9,0.3548387096774194
10,0.6451612903225806
11,0.5161290322580645
12,0.5806451612903225
13,0.12903225806451613
14,0.5161290322580645
15,0.12903225806451613
16,0.6129032258064516
19,0.3548387096774194
20,0.3225806451612903
21,0.3225806451612903
22,0.3225806451612903
23,0.29032258064516125
24,0.29032258064516125
25,0.4838709677419355
26,0.29032258064516125
27,0.3225806451612903
28,0.3225806451612903
31,0.3870967741935484
32,0.0967741935483871
17,0.25806451612903225
18,0.6451612903225806
29,0.25806451612903225
30,0.29032258064516125
7,0.3225806451612903
