,Centrality
1,0.7741935483870968
5,0.9032258064516129
6,0.8709677419354839
7,0.12903225806451613
9,0.0967741935483871
10,0.0967741935483871
11,0.12903225806451613
12,0.29032258064516125
13,0.5161290322580645
14,0.22580645161290322
15,0.16129032258064516
16,0.3870967741935484
19,0.29032258064516125
20,0.6451612903225806
21,0.29032258064516125
22,0.6451612903225806
23,0.3225806451612903
24,0.3225806451612903
25,0.25806451612903225
26,0.3870967741935484
27,0.4838709677419355
28,0.3548387096774194
29,0.3870967741935484
30,0.4193548387096774
31,0.4193548387096774
2,0.22580645161290322
3,0.5161290322580645
4,0.5161290322580645
17,0.12903225806451613
18,0.4838709677419355
8,0.03225806451612903
32,0.0967741935483871
