,Centrality
1,0.10714285714285714
8,0.03571428571428571
16,0.6785714285714285
17,0.25
2,0.03571428571428571
5,0.17857142857142855
22,0.25
23,0.17857142857142855
24,0.46428571428571425
28,0.42857142857142855
6,0.03571428571428571
7,0.03571428571428571
9,0.6071428571428571
10,0.03571428571428571
11,0.5
12,0.03571428571428571
19,0.5714285714285714
20,0.17857142857142855
21,0.39285714285714285
25,0.17857142857142855
26,0.3214285714285714
27,0.2857142857142857
29,0.3214285714285714
30,0.3571428571428571
31,0.2857142857142857
18,0.10714285714285714
32,0.21428571428571427
14,0.6071428571428571
15,0.03571428571428571
