,Centrality
1,0.06451612903225806
16,0.12903225806451613
17,0.0967741935483871
2,0.8709677419354839
3,0.03225806451612903
7,0.03225806451612903
8,0.03225806451612903
9,0.16129032258064516
10,0.0967741935483871
11,0.4838709677419355
12,0.12903225806451613
13,0.45161290322580644
14,0.06451612903225806
15,0.03225806451612903
18,0.5806451612903225
19,0.5806451612903225
20,0.5806451612903225
21,0.5806451612903225
22,0.45161290322580644
23,0.5806451612903225
24,0.45161290322580644
25,0.3870967741935484
26,0.3870967741935484
27,0.29032258064516125
28,0.5483870967741935
29,0.4838709677419355
30,0.5161290322580645
31,0.45161290322580644
32,0.45161290322580644
4,0.6129032258064516
5,0.03225806451612903
6,0.45161290322580644
