,Centrality
1,1.0
25,0.6774193548387096
6,1.0
9,0.9354838709677419
7,1.0
30,0.8709677419354839
28,0.9032258064516129
29,0.9032258064516129
3,1.0
10,0.967741935483871
12,0.9354838709677419
13,0.967741935483871
14,0.7419354838709677
15,0.4193548387096774
16,0.9354838709677419
26,0.8709677419354839
27,0.8387096774193548
4,1.0
31,0.8709677419354839
21,0.9354838709677419
22,0.7096774193548387
18,0.9032258064516129
23,0.8709677419354839
24,0.8709677419354839
19,0.9032258064516129
2,1.0
5,1.0
11,0.9354838709677419
8,0.22580645161290322
20,0.9032258064516129
17,0.9032258064516129
32,0.7419354838709677
