,Centrality
1,0.1
16,0.23333333333333334
17,0.13333333333333333
18,0.16666666666666666
2,0.03333333333333333
32,0.2
3,0.03333333333333333
19,0.16666666666666666
4,0.7
9,0.13333333333333333
10,0.06666666666666667
11,0.06666666666666667
12,0.1
13,0.06666666666666667
14,0.6333333333333333
20,0.13333333333333333
21,0.3
22,0.16666666666666666
23,0.2
24,0.2
25,0.16666666666666666
26,0.16666666666666666
27,0.1
28,0.13333333333333333
29,0.06666666666666667
30,0.06666666666666667
31,0.06666666666666667
5,0.06666666666666667
6,0.26666666666666666
8,0.03333333333333333
7,0.5666666666666667
