,Centrality
2,0.10714285714285714
13,0.07142857142857142
14,0.07142857142857142
15,0.07142857142857142
5,0.8571428571428571
6,0.03571428571428571
7,0.07142857142857142
8,0.03571428571428571
10,0.25
11,0.39285714285714285
12,0.07142857142857142
18,0.10714285714285714
19,0.46428571428571425
20,0.14285714285714285
21,0.10714285714285714
22,0.39285714285714285
23,0.14285714285714285
24,0.14285714285714285
25,0.10714285714285714
26,0.14285714285714285
27,0.21428571428571427
28,0.17857142857142855
29,0.17857142857142855
30,0.07142857142857142
31,0.03571428571428571
32,0.14285714285714285
9,0.03571428571428571
16,0.07142857142857142
17,0.07142857142857142
