,Centrality
6,0.15384615384615385
8,0.6923076923076923
15,0.11538461538461539
31,0.576923076923077
32,0.5384615384615385
7,0.8846153846153847
9,0.576923076923077
10,0.07692307692307693
11,0.15384615384615385
12,0.11538461538461539
13,0.11538461538461539
14,0.07692307692307693
18,0.6923076923076923
19,0.7307692307692308
20,0.7307692307692308
21,0.7307692307692308
22,0.7307692307692308
23,0.38461538461538464
24,0.38461538461538464
25,0.5384615384615385
26,0.5
27,0.5
28,0.5
29,0.46153846153846156
30,0.5384615384615385
16,0.5
17,0.23076923076923078
