,Centrality
4,0.9354838709677419
16,0.7741935483870968
25,0.5483870967741935
9,0.5806451612903225
10,0.3870967741935484
11,0.8709677419354839
12,0.22580645161290322
14,0.7419354838709677
15,0.29032258064516125
13,0.8387096774193548
19,0.8387096774193548
20,0.8709677419354839
21,0.8709677419354839
22,0.8064516129032258
26,0.7741935483870968
30,0.7741935483870968
23,0.8387096774193548
24,0.5483870967741935
27,0.7741935483870968
29,0.7419354838709677
31,0.8064516129032258
5,0.9354838709677419
18,0.9032258064516129
6,0.9354838709677419
1,1.0
17,0.8064516129032258
28,0.8064516129032258
7,0.9354838709677419
3,0.6774193548387096
8,0.1935483870967742
2,0.5161290322580645
32,0.6774193548387096
