,Centrality
1,0.10344827586206896
17,0.5517241379310345
27,0.27586206896551724
28,0.20689655172413793
3,0.6551724137931034
4,0.034482758620689655
5,0.10344827586206896
6,0.034482758620689655
18,0.20689655172413793
19,0.13793103448275862
20,0.13793103448275862
21,0.1724137931034483
22,0.10344827586206896
23,0.13793103448275862
24,0.20689655172413793
25,0.06896551724137931
26,0.13793103448275862
29,0.13793103448275862
30,0.20689655172413793
31,0.1724137931034483
32,0.1724137931034483
7,0.6551724137931034
9,0.1724137931034483
10,0.24137931034482757
11,0.3793103448275862
12,0.10344827586206896
16,0.13793103448275862
13,0.034482758620689655
14,0.13793103448275862
15,0.10344827586206896
