,Centrality
1,0.03225806451612903
17,0.3548387096774194
2,0.8064516129032258
3,0.7419354838709677
4,0.7096774193548387
5,0.12903225806451613
6,0.7096774193548387
7,0.16129032258064516
8,0.7419354838709677
9,0.22580645161290322
10,0.1935483870967742
11,0.6774193548387096
12,0.1935483870967742
13,0.1935483870967742
14,0.45161290322580644
15,0.5483870967741935
21,0.25806451612903225
22,0.29032258064516125
23,0.25806451612903225
24,0.22580645161290322
25,0.1935483870967742
26,0.25806451612903225
27,0.3870967741935484
28,0.29032258064516125
29,0.29032258064516125
30,0.29032258064516125
31,0.29032258064516125
32,0.25806451612903225
16,0.5483870967741935
18,0.12903225806451613
19,0.16129032258064516
20,0.0967741935483871
