,Centrality
3,0.5862068965517241
9,0.6551724137931034
10,0.13793103448275862
11,0.10344827586206896
12,0.10344827586206896
16,0.10344827586206896
17,0.10344827586206896
18,0.4482758620689655
19,0.10344827586206896
20,0.5172413793103449
21,0.13793103448275862
22,0.13793103448275862
23,0.1724137931034483
24,0.13793103448275862
28,0.13793103448275862
29,0.24137931034482757
30,0.20689655172413793
31,0.20689655172413793
4,0.3448275862068966
15,0.13793103448275862
26,0.10344827586206896
27,0.06896551724137931
5,0.48275862068965514
6,0.24137931034482757
7,0.06896551724137931
8,0.06896551724137931
13,0.10344827586206896
14,0.10344827586206896
25,0.10344827586206896
32,0.20689655172413793
