,Centrality
1,0.034482758620689655
17,0.5172413793103449
3,0.034482758620689655
16,0.48275862068965514
4,0.48275862068965514
5,0.034482758620689655
6,0.06896551724137931
7,0.10344827586206896
8,0.06896551724137931
10,0.27586206896551724
11,0.034482758620689655
12,0.3103448275862069
13,0.034482758620689655
14,0.5172413793103449
15,0.3103448275862069
18,0.5517241379310345
27,0.27586206896551724
28,0.3448275862068966
29,0.4482758620689655
30,0.48275862068965514
31,0.4482758620689655
26,0.3103448275862069
19,0.3793103448275862
20,0.1724137931034483
21,0.20689655172413793
22,0.5172413793103449
23,0.27586206896551724
24,0.20689655172413793
25,0.3103448275862069
32,0.1724137931034483
