,Centrality
1,0.03571428571428571
8,0.42857142857142855
2,0.07142857142857142
16,0.14285714285714285
32,0.17857142857142855
4,0.21428571428571427
5,0.21428571428571427
9,0.07142857142857142
10,0.6071428571428571
11,0.21428571428571427
12,0.10714285714285714
13,0.10714285714285714
17,0.14285714285714285
18,0.6071428571428571
25,0.25
26,0.3571428571428571
27,0.2857142857142857
6,0.21428571428571427
19,0.5
20,0.5714285714285714
21,0.39285714285714285
22,0.21428571428571427
23,0.25
7,0.25
24,0.21428571428571427
29,0.2857142857142857
30,0.2857142857142857
31,0.2857142857142857
28,0.3571428571428571
