,Centrality
2,0.6071428571428571
16,0.3214285714285714
17,0.42857142857142855
18,0.17857142857142855
19,0.3214285714285714
20,0.25
21,0.2857142857142857
22,0.3214285714285714
23,0.25
24,0.5714285714285714
25,0.14285714285714285
26,0.17857142857142855
27,0.17857142857142855
28,0.3571428571428571
29,0.2857142857142857
30,0.42857142857142855
31,0.3571428571428571
32,0.3571428571428571
5,0.10714285714285714
6,0.7857142857142857
7,0.8928571428571428
8,0.03571428571428571
9,0.6428571428571428
10,0.21428571428571427
11,0.5
12,0.10714285714285714
13,0.21428571428571427
14,0.75
15,0.14285714285714285
