,Centrality
1,0.06896551724137931
9,0.06896551724137931
16,0.10344827586206896
4,0.034482758620689655
32,0.3793103448275862
5,0.9310344827586207
6,0.5862068965517241
7,0.06896551724137931
8,0.06896551724137931
10,0.1724137931034483
11,0.06896551724137931
12,0.10344827586206896
13,0.034482758620689655
14,0.3103448275862069
15,0.10344827586206896
17,0.6206896551724138
18,0.6206896551724138
19,0.41379310344827586
20,0.5862068965517241
21,0.6206896551724138
22,0.3103448275862069
23,0.3793103448275862
24,0.3448275862068966
25,0.5172413793103449
26,0.4482758620689655
27,0.27586206896551724
28,0.3103448275862069
29,0.41379310344827586
30,0.41379310344827586
31,0.3448275862068966
