,Centrality
1,0.8064516129032258
2,0.03225806451612903
3,0.16129032258064516
4,0.6451612903225806
5,0.06451612903225806
10,0.3225806451612903
11,0.12903225806451613
12,0.0967741935483871
13,0.0967741935483871
14,0.25806451612903225
15,0.22580645161290322
17,0.16129032258064516
18,0.45161290322580644
19,0.1935483870967742
20,0.1935483870967742
21,0.45161290322580644
22,0.4193548387096774
23,0.3870967741935484
24,0.1935483870967742
25,0.3225806451612903
26,0.3225806451612903
27,0.22580645161290322
28,0.25806451612903225
29,0.29032258064516125
30,0.29032258064516125
31,0.25806451612903225
6,0.0967741935483871
7,0.03225806451612903
8,0.03225806451612903
9,0.4838709677419355
16,0.06451612903225806
32,0.22580645161290322
