,Centrality
1,0.3225806451612903
2,0.03225806451612903
3,0.25806451612903225
4,0.7741935483870968
10,0.3548387096774194
11,0.29032258064516125
12,0.16129032258064516
13,0.12903225806451613
14,0.0967741935483871
15,0.1935483870967742
32,0.3548387096774194
9,0.06451612903225806
16,0.6129032258064516
25,0.5806451612903225
26,0.3870967741935484
5,0.6129032258064516
6,0.06451612903225806
7,0.06451612903225806
8,0.03225806451612903
17,0.6451612903225806
18,0.6129032258064516
19,0.5806451612903225
20,0.1935483870967742
21,0.5483870967741935
22,0.4193548387096774
23,0.29032258064516125
24,0.5161290322580645
30,0.4193548387096774
31,0.3548387096774194
27,0.29032258064516125
28,0.22580645161290322
29,0.3548387096774194
